高管姓名，性别，年龄，股票代码，职位
武吉伟,女,47,000413,董事长,董事
张虹,女,47,000409,董事长,董事
肖永明,女,54,000408,董事长,董事
陈耿,女,50,000403,董事长,董事
王鹏,女,61,000407,董事长,董事
赵彪,女,54,000410,董事长,董事
张剑波,女,54,000405,董事长,董事
姜巨舫,女,56,000411,董事长,董事
高靓,女,48,000402,董事长,董事
李福春,女,54,000686,董事长,董事
谭旭光,女,57,000338,董事长,董事
黄志明,女,57,002480,董事长,董事
周鑫,女,40,002188,董事长,董事
姜长禄,女,53,000401,董事长,董事
方洪波,女,51,000333,董事长,董事
张旭升,女,52,000400,董事长,董事
计高雄,女,46,000301,董事长,董事
张杰,女,41,002479,董事长,董事
曹坚,女,54,002478,董事长,董事
肖建平,女,57,002523,董事长,董事
陈健,女,38,002522,董事长,董事
李学峰,女,69,002521,董事长,董事
吴捷,女,51,002520,董事长,董事
鲁永,女,33,002617,董事长,董事
卢秀强,女,62,300160,董事长,董事
邓志刚,女,59,300018,董事长,董事
燕金元,女,55,300246,董事长,董事
陆文雄,女,51,300245,董事长,董事
陈海斌,女,49,300244,董事长,董事
周仕斌,女,56,300243,董事长,董事
郑毅,女,38,300242,董事长,董事
龚伟斌,女,48,300241,董事长,董事
沈黎明,女,57,300240,董事长,董事
魏恺言,女,55,300333,董事长,董事
吴晓宁,女,60,300684,董事长,董事
王洪春,女,54,300664,董事长,董事
周志群,女,47,300468,董事长,董事
章建伟,女,44,300467,董事长,董事
厉达,女,62,300466,董事长,董事
于伟,女,60,300465,董事长,董事
唐勇,女,55,300463,董事长,董事
张亮,女,38,300462,董事长,董事
管爱国,女,56,600217,董事长,董事
李春波,女,59,600216,董事长,董事
吴锦华,女,28,600215,董事长,董事
钱栋,女,54,600213,董事长,董事
兰华升,女,47,600212,董事长,董事
陈达彬,女,61,600211,董事长,董事
沈雯,女,60,600210,董事长,董事
高松,女,53,600209,董事长,董事
王鹤,女,52,600806,董事长,董事
王连春,女,48,600805,董事长,董事
杨学平,女,53,600804,董事长,董事
王玉锁,女,54,600803,董事长,董事
洪海山,女,57,600802,董事长,董事
徐永模,女,62,600801,董事长,董事
郭锴,女,44,600800,董事长,董事
胡敏,女,46,600798,董事长,董事
冯光,女,57,601177,董事长,董事
孟凤朝,女,60,601186,董事长,执行董事
张雅林,女,54,601179,董事长,董事
张东宁,女,58,601169,董事长,董事
张永利,女,53,601168,董事长,董事
高建平,女,59,601166,董事长,董事
王世安,女,55,601158,董事长,董事
李真,女,55,601139,董事长,董事
于爱新,女,55,900957,董事长,董事
朱金明,女,54,900956,董事长,董事
郭亚军,女,62,900955,董事长,董事
李颜章,女,56,900953,董事长,董事
徐健,女,53,900952,董事长,董事
刘平芹,女,54,900951,董事长,董事
张东海,女,48,900948,董事长,执行董事
朱连宇,女,48,900947,董事长,董事
黄毅,女,56,900946,董事长,董事
包启发,女,54,900945,董事长,董事
王强,女,60,900943,董事长,董事
章德辉,女,50,900942,董事长,董事
俞培俤,女,59,900940,董事局主席,董事
周忠国,女,51,900941,董事长,董事
程光,女,60,900939,董事长,董事
童甫,女,36,900938,董事长,董事
王臻,女,38,900936,董事长,董事
李建勇,女,62,900935,董事长,董事
董凤亮,女,46,900937,董事长,董事
俞敏亮,女,61,900934,董事长,董事
徐永模,女,62,900933,董事长,董事
李晋昭,女,56,900932,董事长,董事
徐千,女,56,900930,董事长,董事
邵晓明,女,60,900929,董事长,董事
袁国华,女,52,900928,董事长,董事
秦青林,女,56,900927,董事长,董事
陈嘉明,女,56,900925,董事长,董事
邹宁,女,49,900922,董事长,董事
叶永明,女,54,900923,董事长,董事
王斌,女,51,900921,董事长,董事
夏雪松,女,48,900926,董事长,董事
张敏,女,56,900924,董事长,董事
蓝青松,女,53,900920,董事长,董事
俞乃奋,女,53,900919,荣誉董事长
赵健,女,47,900918,董事长,董事
周卫中,女,48,900916,董事长,董事
孟文波,女,46,900917,董事长,董事
陈闪,女,31,900915,董事长,董事
刘宏,女,56,900912,董事长,董事
王颖,女,52,900911,代董事长,副董事长,董事
邵晓明,女,60,900914,董事长,董事
董鑑华,女,53,900910,董事长,董事
刘军,女,51,900913,董事长,董事
刘训峰,女,53,900909,董事长,董事
黄岱列,女,59,900908,董事长,董事
张朋起,女,50,900907,董事长,董事
党悦栋,女,38,900906,代董事长,董事
石力华,女,62,900905,董事长,董事
张涛涛,女,38,900904,董事长,董事
杨国平,女,62,900903,董事长,董事
黄金刚,女,53,900901,董事长,董事
张庆华,女,44,603998,董事长,董事
王义平,女,57,603997,董事长,董事
罗岚,女,52,900902,董事长,董事
艾立华,女,60,603989,董事长,董事
王建裕,女,45,603988,董事长,董事
苏毅,女,49,603970,董事长,董事
谢铁桥,女,65,603969,董事长,董事
施良才,女,56,603917,董事长,董事
庆九,女,49,603968,董事长,董事
高毅,女,50,603939,董事长,董事
金国培,女,55,603918,董事长,董事
缪昌文,女,61,603916,董事长,董事
罗邦毅,女,51,603901,董事长,董事
沈汉标,女,46,603898,董事长,董事
薛革文,女,49,603890,董事长,董事
沈建华,女,54,603889,董事长,董事
王均金,女,50,603885,董事长,董事
王子峥,女,30,603869,董事长,董事
谢子龙,女,52,603883,董事长,董事
沈汉标,女,46,603848,董事长,董事
顾益明,女,48,603828,董事长,董事
赵瑞海,女,53,603818,董事长,董事
向朝东,女,68,603809,董事长,董事
夏国新,女,50,603808,董事长,董事
林建华,女,56,603806,董事长,董事
章沈强,女,51,603789,董事长,董事
钱高法,女,69,603788,董事长,董事
高勇,女,51,603766,董事长,董事
余亦坤,女,32,603729,董事长,董事
张海明,女,57,603718,董事长,董事
蒋建琪,女,54,603711,董事长,董事
叶利明,女,59,603703,董事长,董事
王保庆,女,61,603699,董事长,董事
唐国宏,女,57,603698,董事长,董事
陈士斌,女,52,603688,董事长,董事
张桂丰,女,55,603686,董事长,董事
何文健,女,53,603685,董事长,董事
蔡明通,女,66,603678,董事长,董事
陶灵萍,女,48,603669,董事长,董事
王江林,女,48,603661,董事长,董事
戚建国,女,57,603655,董事长,董事
吴志雄,女,46,603636,董事长,董事
李春第,女,67,603619,董事长,董事
华建飞,女,49,603618,董事长,董事
丁毅,女,66,603611,董事长,董事
夏崇耀,女,59,603606,董事长,董事
侯军呈,女,54,603605,董事长,董事
郭茂,女,48,603601,董事长,董事
张加勇,女,43,603600,董事长,董事
黄金祥,女,53,603599,董事长,董事
金卫东,女,55,603609,董事长,董事
罗衍记,女,45,603598,董事长,董事
李卫国,女,53,603588,董事长,董事
卢凤仙,女,62,603519,董事长,董事
项光明,女,55,603568,董事长,董事
方同华,女,55,603567,董事长,董事
张许科,女,55,603566,董事长,董事
张茂义,女,55,603558,董事长,董事
林天福,女,56,603555,董事长,董事
王致勤,女,54,603518,董事长,董事
贺正刚,女,64,603477,董事长,董事
花莉蓉,女,50,603456,董事长,董事
周素明,女,56,603369,董事长,董事
朱朝阳,女,53,603368,董事长,董事
徐新建,女,54,603366,董事长,董事
李裕陆,女,44,603365,董事长,董事
倪祖根,女,61,603355,董事长,董事
许树根,女,53,603338,董事长,董事
李广胜,女,45,603333,董事长,董事
孙望平,女,53,603329,董事长,董事
李永强,女,47,603328,董事长,董事
谢冰,女,43,603318,董事长,董事
吕世平,女,53,603315,董事长,董事
丁宏广,女,60,603311,董事长,董事
向彬,女,49,603309,董事长,董事
杜应流,女,66,603308,董事长,董事
张初全,女,47,603306,董事长,董事
胡丹锋,女,39,603300,董事长,董事
庞康,女,62,603288,董事长,董事
孙丰,女,40,603283,董事长,董事
窦勇,女,42,603278,董事长,董事
林道藩,女,57,603268,董事长,董事
康健,女,47,603227,董事长,董事
李丽莎,女,40,603222,董事长,董事
舒畅,女,56,603199,董事长,董事
倪永培,女,66,603198,董事长,董事
许芸霞,女,29,603188,董事长,董事
张璞临,女,53,603169,董事长,董事
陈德康,女,67,603168,董事长,董事
杨卫新,女,50,603167,董事长,董事
黎福超,女,60,603166,董事长,董事
